distance_head-head,alignment_head-mouth,alignment_dorsal_back-dorsal_center,angles_head-mouth to head,angles_dorsal_back-dorsal_center to head,angles_head-mouth to dorsal_back,angles_dorsal_back-dorsal_center to dorsal_back,cluster_un15,embedding_un15_x,embedding_un15_y,cluster_un25,embedding_un25_x,embedding_un25_y,cluster_un50,embedding_un50_x,embedding_un50_y,cluster_un100,embedding_un100_x,embedding_un100_y
232.1227136798611,0.2558142114982872,0.3469725267208118,2.479188170012646,2.307708121679718,2.577690922179703,2.3825254949003507,0,-1.7656392,-1.681789,0,9.758997,3.4747362,0,0.52182263,6.5391874,1,9.203838,3.448828
240.9129270728612,0.6996107689199552,0.3766348568359874,0.8143861949159871,1.506645610467612,1.029854342857665,1.310773057516848,5,6.746276,1.6263995,1,1.1327353,4.8091207,3,8.19527,5.2434015,1,2.1723647,4.580489
297.2512422094996,0.0596302763733979,0.0347868943997033,0.4114903742269734,0.2478578666711212,0.3621384376291852,0.208286065196057,2,13.631342,-3.3734553,1,-1.8349138,0.91115534,1,11.298882,8.418152,1,-0.36549503,1.8014566
226.45608034188368,0.2296714282627935,0.2135512592600255,2.0221412557161726,1.7918720821625425,1.8620999752543128,1.560947625687277,1,3.9310288,-4.8772655,1,5.6345468,0.6737165,2,4.1630874,9.352696,1,6.0158205,1.3107046
238.89499735436297,0.7894971363783645,0.7335806069116502,1.9262127059064156,1.67344089690049,2.171532580538956,1.921182244722025,5,3.9284425,4.4596434,1,5.9114423,8.636875,1,4.2706127,1.7738277,3,5.7836685,8.22042
215.3261227023833,0.573839346955488,0.6389550984414829,2.473764456823311,2.4211618246364077,2.7703697171133874,2.768964850033464,5,-1.4541335,2.0696793,1,10.610986,7.3915753,1,0.018945023,3.3692458,2,9.744987,6.628998
263.2725143043119,0.2048682098103553,0.7785705356487085,0.3082257897277735,2.9578367888112087,0.1232314126120749,3.133836273251941,5,9.326955,5.9722586,1,2.7691293,6.8431396,1,4.353117,5.5338326,1,3.5096693,6.1270113
250.74651993379535,0.4515832222546498,0.5670601742107332,2.858985821642564,2.480331508753646,3.0516954712462407,2.75516966501074,5,-4.014857,3.0468705,1,12.086688,6.052266,1,-1.2628604,4.5271153,5,11.030751,5.6922975
261.1627515110071,0.0972447702241182,0.1578656507177031,2.2602918615272367,2.1412840056546343,2.0680413239647226,1.9267097900162375,0,-1.6635041,-3.8523734,1,8.560796,0.6739984,0,2.0398207,9.037312,0,8.039686,1.3465798
230.90501613728887,0.0326793927172822,0.0317178181284707,2.9573338633173063,2.9635378492184845,2.9046742774218197,2.881002304470877,4,-7.143986,-2.0484974,0,13.316874,0.89298886,1,-2.6415503,8.962369,6,12.31011,1.5123227
250.4304325571526,0.0339766603253256,0.0340955337736963,3.080564184120443,2.938972683708336,3.077967308685388,2.9313266758961616,4,-7.4283824,-1.2396276,0,12.79401,1.3963616,1,-2.171347,8.64136,6,11.922503,1.7420429
